Data generated by the ASTRA High Altitude Balloon Flight Planner - University of Southampton,,,,,
Simulation #,Time from launch [s],Latitude,Longitude,Altitude [m],Remarks
1.0,252.0,29.206805348501216,-81.03881251224006,736.833290629937,
1.0,255.0,29.20679916577083,-81.03902565626542,745.618725566564,
1.0,258.0,29.206793792051435,-81.03923907352416,754.4052999848225,
1.0,261.0,29.206789228389784,-81.03945275945878,763.1930138847125,
1.0,264.0,29.206785475811245,-81.03966670951317,771.9818672662342,
1.0,267.0,29.20678253531988,-81.03988091913249,780.7718601293875,
1.0,270.0,29.20678040789853,-81.04009538376324,789.5629924741723,
1.0,273.0,29.206779094508956,-81.04031009885378,798.3552643005887,
1.0,276.0,29.20677859609187,-81.04052505985396,807.1486756086367,
1.0,279.0,29.206778913567113,-81.0407402622157,815.9432263983163,
1.0,282.0,29.206780047833693,-81.04095570139286,824.7389166696274,
1.0,285.0,29.206781999769888,-81.04117137284128,833.5357464225701,
1.0,288.0,29.20678477023339,-81.04138727201924,842.3337156571445,
1.0,291.0,29.206788360061342,-81.04160339438721,851.1328243733503,
1.0,294.0,29.206792728238256,-81.04181973672674,859.9330725711877,
1.0,297.0,29.206797747459493,-81.0420362993786,868.7344602506568,
1.0,300.0,29.206803418618577,-81.04225307913951,877.5369874117573,
1.0,303.0,29.206809742596548,-81.04247007282835,886.3406540544895,
1.0,306.0,29.206816720261923,-81.04268727726253,895.1454601788532,
1.0,309.0,29.20682435247076,-81.04290468925811,903.9514057848485,
1.0,312.0,29.206832640066718,-81.04312230563012,912.7584908724755,
1.0,315.0,29.20684158388102,-81.04334012319227,921.5667154417339,
1.0,318.0,29.206851184732553,-81.04355813875738,930.376079492624,
1.0,321.0,29.206861443427865,-81.04377634913718,939.1865830251455,
1.0,324.0,29.206872360761178,-81.04399475114242,947.9982260392987,
1.0,327.0,29.20688393751448,-81.04421334158314,956.8110085350835,
1.0,330.0,29.20689617445749,-81.04443211726849,965.6249305124998,
1.0,333.0,29.206909072347752,-81.04465107500697,974.4399919715477,
1.0,336.0,29.20692263193062,-81.04487021160644,983.2561929122272,
1.0,339.0,29.2069368539393,-81.04508952387407,992.0735333345383,
1.0,342.0,29.206951739107268,-81.04530900861947,1000.8921809375986,
1.0,345.0,29.20696728817706,-81.04552866265627,1009.7124223835075,
1.0,348.0,29.20698350184764,-81.0457484827903,1018.5338289942284,
1.0,351.0,29.207000380805983,-81.04596846582726,1027.3564007697614,
1.0,354.0,29.207017925727076,-81.0461886085724,1036.1801377101062,
1.0,357.0,29.207036137273988,-81.04640890783091,1045.005039815263,
1.0,360.0,29.20705501609788,-81.04662936040778,1053.831107085232,
1.0,363.0,29.207074562838017,-81.04684996310785,1062.6583395200128,
1.0,366.0,29.207094778121878,-81.0470707127361,1071.4867371196056,
1.0,369.0,29.20711566256511,-81.04729160609749,1080.3162998840103,
1.0,372.0,29.207137231372712,-81.04751263903267,1089.1470278132272,
1.0,375.0,29.207159503049805,-81.04773380682677,1097.978920907256,
1.0,378.0,29.2071824782938,-81.04795510581022,1106.8119791660968,
1.0,381.0,29.207206157786135,-81.04817653230774,1115.6462025897495,
1.0,384.0,29.207230542192242,-81.04839808264245,1124.481591178214,
1.0,387.0,29.20725563216159,-81.04861975313604,1133.318144931491,
1.0,390.0,29.20728142832776,-81.04884154010904,1142.1558638495794,
1.0,393.0,29.20730793130841,-81.04906343988071,1150.99474793248,
1.0,396.0,29.20733514170538,-81.04928544876947,1159.8347971801927,
1.0,399.0,29.207363060104672,-81.04950756309266,1168.6760115927175,
1.0,402.0,29.207391687076477,-81.04972977916688,1177.518391170054,
1.0,405.0,29.207421023175286,-81.04995209330815,1186.3619359122026,
1.0,408.0,29.20745106893984,-81.05017450183186,1195.2066458191632,
1.0,411.0,29.207481824893193,-81.05039700105294,1204.0525208909357,
1.0,414.0,29.207513291542796,-81.05061958728614,1212.8995611275204,
1.0,417.0,29.207545469380452,-81.05084225684583,1221.7477665289168,
1.0,420.0,29.207578358882444,-81.0510650060465,1230.5971370951254,
1.0,423.0,29.20761196050951,-81.05128783120259,1239.447672826146,
1.0,426.0,29.207646274706885,-81.0515107286286,1248.2993737219783,
1.0,429.0,29.207681301904397,-81.05173369463944,1257.1522397826227,
1.0,432.0,29.207717042516432,-81.05195672555028,1266.0062710080792,
1.0,435.0,29.20775349694206,-81.0521798176769,1274.8614673983477,
1.0,438.0,29.207790665565017,-81.05240296733561,1283.7178289534281,
1.0,441.0,29.207828548753728,-81.05262617084337,1292.5753556733205,
1.0,444.0,29.207867146861446,-81.05284942451809,1301.4340475580248,
1.0,447.0,29.207906460226212,-81.05307272467856,1310.2939046075412,
1.0,450.0,29.20794647153495,-81.05329601259244,1319.1549268218694,
1.0,453.0,29.20798711744519,-81.05351908984042,1328.0171142010097,
1.0,456.0,29.20802839636721,-81.05374195336542,1336.8804667449622,
1.0,459.0,29.208070306701003,-81.05396460014148,1345.7449844537264,
1.0,462.0,29.208112846836226,-81.05418702715542,1354.6106673273025,
1.0,465.0,29.208156015152326,-81.05440923140682,1363.4775153656908,
1.0,468.0,29.208199810018677,-81.05463120990841,1372.345528568891,
1.0,471.0,29.208244229794587,-81.05485295968582,1381.2147069369032,
1.0,474.0,29.20828927282939,-81.05507447777767,1390.0850504697275,
1.0,477.0,29.20833493746258,-81.05529576123583,1398.9565591673636,
1.0,480.0,29.20838122202382,-81.05551680712519,1407.8292330298118,
1.0,483.0,29.20842812493303,-81.0557376124829,1416.704546701836,
1.0,486.0,29.20847564466369,-81.05595817433148,1425.5834472859387,
1.0,489.0,29.208523779525954,-81.056178489769,1434.463673161189,
1.0,492.0,29.208572527820483,-81.05639855590687,1443.3452243275876,
1.0,495.0,29.208621887838394,-81.0566183698697,1452.228100785134,
1.0,498.0,29.20867185786146,-81.05683792879555,1461.1123025338284,
1.0,501.0,29.20872243616213,-81.05705722983582,1469.9978295736707,
1.0,504.0,29.208773621003576,-81.05727627015527,1478.884681904661,
1.0,507.0,29.208825410639886,-81.0574950469323,1487.7728595267993,
1.0,510.0,29.20887780331606,-81.05771355735881,1496.6623624400854,
1.0,513.0,29.20893079726808,-81.05793179864014,1505.5531906445194,
1.0,516.0,29.208984390723092,-81.05814976799546,1514.4453441401015,
1.0,519.0,29.209038581899375,-81.05836746265744,1523.3388229268317,
1.0,522.0,29.209093369006524,-81.05858487987264,1532.2336270047094,
1.0,525.0,29.20914875024547,-81.05880201690127,1541.1297563737355,
1.0,528.0,29.20920472380855,-81.05901887101727,1550.0272110339092,
1.0,531.0,29.20926083657612,-81.05923485233984,1558.9259909852312,
1.0,534.0,29.209316696798926,-81.05944945309473,1567.8260962277009,
1.0,537.0,29.209372302896536,-81.05966267395478,1576.7275267613186,
1.0,540.0,29.209427653298892,-81.05987451574927,1585.6302825860841,
1.0,543.0,29.20948274644644,-81.06008497932652,1594.5343637019978,
1.0,546.0,29.20953758079032,-81.06029406555396,1603.4397701090593,
1.0,549.0,29.209592154792425,-81.0605017753177,1612.3465018072689,
1.0,552.0,29.2096464669255,-81.06070810952235,1621.2545587966263,
1.0,555.0,29.209700515673344,-81.06091306909103,1630.1639410771318,
1.0,558.0,29.209754299530818,-81.06111665496493,1639.0746486487851,
1.0,561.0,29.209807817004048,-81.06131886810338,1647.9866815115863,
1.0,564.0,29.209861066610472,-81.06151970948343,1656.9000396655356,
1.0,567.0,29.209914046878936,-81.06171918009973,1665.8147231106327,
